"YEAR","JURISDICTION","OFFENSES_SUM (Sum)","FINES (Sum)","ARRESTS (Sum)","CHARGES (Sum)","Total","COUNT_PER_10K"
2017,"ACT",1299,1299,0,0,324439,40
2017,"NSW",41020,41020,0,0,5439711,75
2017,"NT",546,546,0,0,156344,35
2017,"QLD",15043,15043,0,0,3580836,42
2017,"SA",11252,11252,0,0,1232106,91
2017,"TAS",2738,2738,0,0,380215,72
2017,"VIC",29293,29293,0,0,4565595,64
2017,"WA",16718,16718,0,0,1965031,85
2018,"ACT",1399,1399,0,0,330574,42
2018,"NSW",37653,37653,0,0,5529185,68
2018,"NT",861,861,0,0,157296,55
2018,"QLD",12828,12828,0,0,3657643,35
2018,"SA",8471,8471,0,0,1246015,68
2018,"TAS",2614,2614,0,0,387773,67
2018,"VIC",32458,32458,0,0,4665764,70
2018,"WA",17697,17697,0,0,1977775,89
2019,"ACT",1098,1098,0,0,329637,33
2019,"NSW",25463,25463,0,0,5606175,45
2019,"NT",760,760,0,0,156344,49
2019,"QLD",11580,11580,0,0,3719766,31
2019,"SA",7567,7567,0,0,1258216,60
2019,"TAS",2355,2355,0,0,398452,59
2019,"VIC",36694,36694,0,0,4748539,77
2019,"WA",11850,11850,0,0,1992380,59
2020,"ACT",812,812,0,0,326495,25
2020,"NSW",151725,151725,0,0,5648327,269
2020,"NT",380,380,0,0,157831,24
2020,"QLD",4823,4823,0,0,3806397,13
2020,"SA",6325,6325,0,0,1271958,50
2020,"TAS",1966,1966,0,0,406437,48
2020,"VIC",21231,21231,0,0,4807706,44
2020,"WA",7889,7889,0,0,2013336,39
2021,"ACT",544,544,0,0,326454,17
2021,"NSW",174082,174082,0,0,5775889,301
2021,"NT",309,309,0,0,159208,19
2021,"QLD",18547,18547,0,0,3888986,48
2021,"SA",4799,4799,0,0,1294479,37
2021,"TAS",2328,2328,0,0,416263,56
2021,"VIC",15562,15562,0,0,4895143,32
2021,"WA",4909,4909,0,0,2036282,24
2022,"ACT",374,374,0,0,334900,11
2022,"NSW",207697,207697,0,0,5960216,348
2022,"NT",302,302,0,0,159063,19
2022,"QLD",121639,121639,0,0,3973138,306
2022,"SA",4583,4583,0,0,1329139,34
2022,"TAS",1973,1973,0,0,423676,47
2022,"VIC",19428,19428,0,0,4968836,39
2022,"WA",6346,6346,0,0,2078263,31
2023,"ACT",288,288,0,0,341420,8
2023,"NSW",216229,216042,0,187,6040358,358
2023,"NT",224,205,5,14,161361,14
2023,"QLD",80292,80292,0,0,4051724,198
2023,"SA",5769,5769,0,0,1340060,43
2023,"TAS",2465,2428,0,37,426528,58
2023,"VIC",49546,49546,0,0,5097911,97
2023,"WA",3756,3592,7,157,2132257,18
2024,"ACT",27140,27125,2,13,347892,780
2024,"NSW",162205,161997,0,208,6166226,263
2024,"NT",256,244,1,11,163416,16
2024,"QLD",75334,75334,0,0,4154952,181
2024,"SA",4605,4605,0,0,1362548,34
2024,"TAS",2847,2815,0,32,429865,66
2024,"VIC",55075,55075,0,0,5260408,105
2024,"WA",3938,3731,4,203,2194816,18
