"YEAR","AGE_GROUP","Sum(OFFENSES_SUM)","Sum(FINES)","Sum(ARRESTS)","Sum(CHARGES)"
2023,"0-16",40,37,0,3
2023,"17-25",11349,11237,3,109
2023,"26-39",23392,23218,4,170
2023,"40-64",19969,19866,3,100
2023,"65 and over",2566,2551,2,13
2023,"Unknown",301253,301253,0,0
2024,"0-16",2153,2144,0,9
2024,"17-25",26760,26606,1,153
2024,"26-39",67313,67129,4,180
2024,"40-64",66702,66582,2,118
2024,"65 and over",8941,8934,0,7
2024,"Unknown",159531,159531,0,0
